Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9
Zeitstempel,How old are you?,Which gender do you identify with most?,Which country are you from?,"If in the previous question you have selected ""other"", please indicate the respective country.",What cultural background(s) do your parents come from? (more than 1 option can be selected),What do you consider your actively practised culture(s)? (more than 1 option can be selected),Please add your previously generated SHA1 ID:,"End of the questionnaire. Many thanks for your contribution! If you have any additional comments for the project team, you can leave them here if you wish."
2020/12/14 10:03:48 PM MEZ,40+,female,Austria,,European;Asian,European;Asian,,
2020/12/23 6:28:21 PM MEZ,20-25,male,Austria,,European,European,3AB6D9AAC2244ECC4F595743DF6EB54686DE31A0,
2021/01/03 8:28:13 PM MEZ,20-25,male,Austria,,European,European,43166EAC7DE5C6D48FF646B1B12BEB46AC7CA375,
2021/01/04 12:07:01 AM MEZ,30-40,male,Austria,,European,European,B59DE8F9A0D4C9AADABAFF7EA6A4F61BF89861DA,"If students are required to provide SHA1 hash of their student's email address, the study should not have been advertised as being anonymous."
2021/01/04 4:46:17 PM MEZ,20-25,male,Albania,,European,European,8D396D662D61B164860C081535E30C3E32934406,
2021/01/05 2:09:31 AM MEZ,20-25,male,Albania,,European,European;American;Latin American,C003DF0C2EC67886EA6BC835682E3182A2126135,
2021/01/05 4:27:25 PM MEZ,25-30,female,Germany,,European,European,C733B58CB8AE244885A97E86B09D896A5633674C,
2021/01/06 2:19:11 PM MEZ,20-25,male,Italy,,European,European,245DC3767EBDBF721824F2F09B4251D5E0063494,
2021/01/06 5:35:31 PM MEZ,20-25,male,Austria,,European,European,BE887E16DEB41D06FACD481B5BFE3AF6FDF6F8CB,
2021/01/06 6:27:09 PM MEZ,20-25,male,Luxembourg,,European,European,38205FF03AFF19E008FA123615336213A0ED33AB,
2021/01/07 5:12:06 AM MEZ,20-25,male,Austria,,European,European,A6241D7982404859C8D816D8C4A61DC506145A50,
2021/01/07 11:41:11 AM MEZ,25-30,male,Austria,,European,European,6438BC09053F6B5215CA1FC743AB0E3CF2B53984,
2021/01/07 2:02:19 PM MEZ,20-25,male,Germany,,European,European,C6C77B9A8025D969F0E14BEBBEECB8B82BAAF284,
2021/01/07 6:26:20 PM MEZ,20-25,male,Austria,,European,European,5FEF4C8B719CABDF32C46A4C9C9316376DF7B512,One Image did not load for annotation
2021/01/07 9:04:37 PM MEZ,25-30,male,Switzerland,,European,European,F96F6ACF9B40EDA60D4D48FBED7B3512E1C8E48,
2021/01/07 10:12:31 PM MEZ,25-30,female,Asia,,Asian,Asian, 5FFB96918AA02D6E1EF82257A2828F9A4FD9C702,
2021/01/07 10:31:49 PM MEZ,20-25,male,Austria,,European,European,F0E0055FB33661B91E7C55DAFB0246BCB43D7D8D,
2021/01/07 10:33:29 PM MEZ,20-25,male,Austria,,European,European,C91C4E40D11000EB5E5BE0EDBE12C74A54FAA40B,
2021/01/07 10:47:59 PM MEZ,20-25,female,Austria,,European,European,F9CC3D73B8F36057257097AFFE29B884000BABB5,
