oldnames,newnames
07101-K_8983_1.jpeg,1.jpg
07101-O_1583_1.jpeg,2.jpg
07101-O_1625_1.jpeg,3.jpg
07101-O_2467_1.jpeg,4.jpg
07101-O_2605_1.jpeg,5.jpg
07101-O_3106_1.jpeg,6.jpg
07101-O_4467_1.jpeg,7.jpg
07101-O_990_1.jpeg,8.jpg
10501-bib_rnod_52691_1.jpeg,9.jpg
10501-bib_rnod_52692_1.jpeg,10.jpg
10501-bib_rnod_53098_1.jpeg,11.jpg
10501-bib_rnod_74892_1.jpeg,12.jpg
10501-bib_rnod_74893_1.jpeg,13.jpg
11628-_FOTO_AM_UNITS_ITALY_17110_1.jpeg,14.jpg
11628-_FOTO_AM_UNITS_ITALY_5070_1.jpeg,15.jpg
11628-_FOTO_AM_UNITS_ITALY_68707_1.jpeg,16.jpg
15513-7442_1.jpeg,17.jpg
188-item_3IUIZOYBQ7OOQMF4VZ5GCLIBAAAANMFG_1.jpeg,18.jpg
2020601-https___1914_1918_europeana_eu_contributions_10425_attachments_109982_1.jpeg,19.jpg
2020903-KKSgb2948_64_1.jpeg,20.jpg
2020903-KKSgb2948_77_1.jpeg,21.jpg
2020903-KKSgb6867_1.jpeg,22.jpg
2020903-KMS4235_1.jpeg,23.jpg
2020903-KMS4613_1.jpeg,24.jpg
2020903-KMS6879_1.jpeg,25.jpg
2020903-KMS6934_1.jpeg,26.jpg
2020903-KMS740_1.jpeg,27.jpg
2020903-KMSsp266_1.jpeg,28.jpg
2020903-KMSst491_1.jpeg,29.jpg
2021007-_SLSA_1150_SLSA_1150_foto_1099_1.jpeg,30.jpg
2021007-_SLS_1555_SLS_1555_1254_1.jpeg,31.jpg
2021007-_SLS_1555_SLS_1555_1430_1.jpeg,32.jpg
2021007-_SLS_1555_SLS_1555_1499_1.jpeg,33.jpg
2021007-_SLS_1555_SLS_1555_163_1.jpeg,34.jpg
2021007-_SLS_1555_SLS_1555_1685_1.jpeg,35.jpg
2021007-_SLS_1555_SLS_1555_1738_1.jpeg,36.jpg
2021007-_SLS_1555_SLS_1555_2010_1.jpeg,37.jpg
2021007-_SLS_1555_SLS_1555_2256_1.jpeg,38.jpg
2021007-_SLS_1555_SLS_1555_36_1.jpeg,39.jpg
2021007-_SLS_1555_SLS_1555_486_1.jpeg,40.jpg
2021007-_SLS_1555_SLS_1555_763_1.jpeg,41.jpg
2021007-_SLS_1555_SLS_1555_768_1.jpeg,42.jpg
2021007-_SLS_1555_SLS_1555_778_1.jpeg,43.jpg
2021007-_SLS_1849_SLS_1849_675_1.jpeg,44.jpg
2021007-_SLS_1849_SLS_1849_691_1.jpeg,45.jpg
2021007-_SLS_1849_SLS_1849_695_1.jpeg,46.jpg
2021007-_SLS_1849_SLS_1849_86_1.jpeg,47.jpg
2021007-_SLS_227_SLS_227_85_1.jpeg,48.jpg
2021007-_SLS_389_SLS_389_34_1.jpeg,49.jpg
2021007-__C3_96TA_135_2C_SLS_865_SLS_865_B_365_1.jpeg,50.jpg
2021007-__C3_96TA_135_2C_SLS_865_SLS_865_B_374_1.jpeg,51.jpg
2021007-__C3_96TA_23__C3_B6ta_23_foto_32_1.jpeg,52.jpg
2021007-__C3_96TA_23__C3_B6ta_23_foto_58_1.jpeg,53.jpg
2021007-__C3_96TA_295__C3_B6ta_295_foto_1260_1.jpeg,54.jpg
2021007-__C3_96TA_311__C3_B6ta_311_foto_49_1.jpeg,55.jpg
2021007-__C3_96TA_319__C3_B6ta_319_foto_12_1.jpeg,56.jpg
2021007-__C3_96TA_319__C3_B6ta_319_foto_44_1.jpeg,57.jpg
2021007-__C3_96TA_335__C3_96TA_335_foto_400_1.jpeg,58.jpg
2021007-__C3_96TA_335__C3_96TA_335_foto_403_1.jpeg,59.jpg
2021609-objecten_82709_1.jpeg,60.jpg
